arac_sayisi,alpha,talep_faktor,talep_sok_pct,dispatch_kural,n_modu,starv_pct,starv_dk,ort_wip,sefer_sayisi,mesafe_km
2,0.1,1.0,0,EDD,Dinamik_N,54.17,6240,101.5,16,26.02
3,0.1,1.0,0,EDD,Dinamik_N,38.69,4457,138.0,24,37.84
4,0.1,1.0,0,EDD,Dinamik_N,24.49,2821,172.4,32,49.65
5,0.1,1.0,0,EDD,Dinamik_N,14.84,1709,201.3,42,60.0
6,0.1,1.0,0,EDD,Dinamik_N,12.65,1457,211.5,75,60.41
7,0.1,1.0,0,EDD,Dinamik_N,9.48,1092,217.5,112,60.52
8,0.1,1.0,0,EDD,Dinamik_N,4.13,476,225.7,139,60.49
1,0.15,1.0,0,EDD,Dinamik_N,69.5,8006,71.5,8,13.88
2,0.15,1.0,0,EDD,Dinamik_N,53.01,6107,111.1,16,26.97
3,0.15,1.0,0,EDD,Dinamik_N,36.93,4254,148.5,24,38.45
4,0.15,1.0,0,EDD,Dinamik_N,24.58,2832,182.3,32,48.49
5,0.15,1.0,0,EDD,Dinamik_N,15.98,1841,211.0,42,57.21
6,0.15,1.0,0,EDD,Dinamik_N,11.27,1298,224.4,81,61.36
7,0.15,1.0,0,EDD,Dinamik_N,7.0,806,232.9,116,60.65
8,0.15,1.0,0,EDD,Dinamik_N,3.5,403,237.3,139,58.37
1,0.2,1.0,0,EDD,Dinamik_N,68.65,7908,77.4,8,12.99
2,0.2,1.0,0,EDD,Dinamik_N,51.97,5987,119.1,16,25.74
3,0.2,1.0,0,EDD,Dinamik_N,35.53,4093,160.2,24,36.99
4,0.2,1.0,0,EDD,Dinamik_N,21.7,2500,197.7,33,49.4
5,0.2,1.0,0,EDD,Dinamik_N,13.44,1548,226.7,45,59.76
6,0.2,1.0,0,EDD,Dinamik_N,12.25,1411,236.4,83,58.15
7,0.2,1.0,0,EDD,Dinamik_N,6.19,713,243.8,113,56.56
8,0.2,1.0,0,EDD,Dinamik_N,3.42,394,247.3,137,56.93
1,0.25,1.0,0,EDD,Dinamik_N,67.68,7797,84.2,8,13.35
2,0.25,1.0,0,EDD,Dinamik_N,50.85,5858,127.5,16,26.89
3,0.25,1.0,0,EDD,Dinamik_N,33.98,3915,169.8,24,37.78
4,0.25,1.0,0,EDD,Dinamik_N,20.6,2373,211.4,32,49.86
5,0.25,1.0,0,EDD,Dinamik_N,13.3,1532,241.0,47,57.74
6,0.25,1.0,0,EDD,Dinamik_N,8.98,1034,250.2,88,56.77
7,0.25,1.0,0,EDD,Dinamik_N,5.12,590,257.1,116,56.42
8,0.25,1.0,0,EDD,Dinamik_N,3.39,390,259.1,131,56.73
1,0.3,1.0,0,EDD,Dinamik_N,65.73,7572,98.4,8,14.1
2,0.3,1.0,0,EDD,Dinamik_N,48.23,5556,146.1,16,25.99
3,0.3,1.0,0,EDD,Dinamik_N,30.56,3520,193.7,24,37.81
4,0.3,1.0,0,EDD,Dinamik_N,17.45,2010,240.5,32,47.55
5,0.3,1.0,0,EDD,Dinamik_N,11.25,1296,267.9,55,53.12
6,0.3,1.0,0,EDD,Dinamik_N,6.82,786,278.0,92,53.31
7,0.3,1.0,0,EDD,Dinamik_N,4.6,530,281.2,114,53.46
8,0.3,1.0,0,EDD,Dinamik_N,2.72,313,283.2,126,52.89
1,0.05,1.1,10,EDD,Dinamik_N,72.2,8317,65.1,8,13.66
2,0.05,1.1,10,EDD,Dinamik_N,56.92,6557,101.5,16,26.79
3,0.05,1.1,10,EDD,Dinamik_N,41.95,4833,136.0,24,39.19
4,0.05,1.1,10,EDD,Dinamik_N,28.33,3264,171.0,32,50.86
5,0.05,1.1,10,EDD,Dinamik_N,18.28,2106,199.8,40,59.49
6,0.05,1.1,10,EDD,Dinamik_N,15.95,1837,214.3,65,70.11
7,0.05,1.1,10,EDD,Dinamik_N,10.6,1221,225.1,104,67.08
8,0.05,1.1,10,EDD,Dinamik_N,6.48,747,231.1,131,65.82
1,0.1,1.1,10,EDD,Dinamik_N,71.39,8224,70.5,8,13.37
2,0.1,1.1,10,EDD,Dinamik_N,55.98,6449,109.0,16,26.34
3,0.1,1.1,10,EDD,Dinamik_N,40.54,4670,146.9,24,37.36
4,0.1,1.1,10,EDD,Dinamik_N,27.08,3120,182.6,32,49.36
5,0.1,1.1,10,EDD,Dinamik_N,16.58,1910,213.9,42,60.49
6,0.1,1.1,10,EDD,Dinamik_N,12.85,1480,230.3,66,64.63
7,0.1,1.1,10,EDD,Dinamik_N,10.1,1163,236.5,106,64.43
8,0.1,1.1,10,EDD,Dinamik_N,5.93,683,243.6,127,63.82
1,0.15,1.1,10,EDD,Dinamik_N,70.44,8115,76.8,8,13.48
2,0.15,1.1,10,EDD,Dinamik_N,54.8,6313,116.3,16,25.93
3,0.15,1.1,10,EDD,Dinamik_N,40.03,4612,154.8,24,39.12
4,0.15,1.1,10,EDD,Dinamik_N,26.11,3008,194.9,32,47.77
5,0.15,1.1,10,EDD,Dinamik_N,17.87,2059,222.9,43,58.27
6,0.15,1.1,10,EDD,Dinamik_N,13.28,1530,241.3,72,63.59
7,0.15,1.1,10,EDD,Dinamik_N,8.18,942,250.4,107,62.16
8,0.15,1.1,10,EDD,Dinamik_N,4.84,557,256.3,134,62.08
1,0.2,1.1,10,EDD,Dinamik_N,68.68,7912,89.7,7,12.69
2,0.2,1.1,10,EDD,Dinamik_N,52.55,6054,134.5,15,24.8
